package_id,package_name,sc_id,package_front_description,package_img_description,FAQ,segmentation_type_id
111,"Switchbox installation(15+ amp)",11,"Covers installation only. Switchbox/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
112,"Switch/socket replacement",11,"Covers replacement only. Socket/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
113,"AC switchbox installation",11,"Covers installation only. AC switchbox/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
114,"Switchboard installation",11,"Covers installation only. Switchboard/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
115,"Switchboard/switchbox repair",11,"Covers repair only. Switchbox/spare parts sourced separately",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
116,"Modular retrofit smart switches",11,"Covers installation only.Smart switch/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
117,"Smart Appliance Controller",11,"Covers installation of touch panel/smart plud.Spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
118,"Convertor retrofit Wi-Fi smart switches",11,"Covers installation only. Smart switches/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11111
119,"Ceiling Fan Installation",11,"Covers installation only. Fan/spare parts sources separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
120,"Fan Uninstallation",11,"Covers uninstallation only. Fan/spare parts sourced separately.",[],"{"Are extra parts included in the cost?":"No. This service doesn’t include the cost of spare parts. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice.","Will the electrician buy installation material (wire, nails, etc)?":"No. The material is to be provided by customers. Although, our electricians can procure the required items for an additional cost (at market rate) which will reflect in your invoice. ","Can the electrician provide services other than the booked ones?":"You can ask the electrician to inspect and do other services at an extra cost (as per the rate card).","What happens if any issue occurs after the service?":"This service comes with a free 30-day UC warranty that covers any damage or malfunction of fittings/spare parts procured by UC for up to 10,000. Additionally, if you are not satisfied with the service, you can get a free service re-visit within 30 days. No questions asked.","Will the spare parts have a warranty?":"All the spare parts that are either purchased via Urban Company or procured by our professionals come with a warranty of 30 days. The spare parts that customers purchase do not have any warranty."}",11112
